from https://youtu.be/R-3Z0KL7QiU?t=12388 to https://youtu.be/R-3Z0KL7QiU?t=15343,,
start_time,end_time,reason
https://youtu.be/R-3Z0KL7QiU?t=12412,https://youtu.be/R-3Z0KL7QiU?t=12416,一般的なゲームは、ジャンプ連打で上昇し続けることはないから
https://youtu.be/R-3Z0KL7QiU?t=12616,https://youtu.be/R-3Z0KL7QiU?t=12622,一般的なゲームは、ジャンプ連打で上昇し続けることはないから
https://youtu.be/R-3Z0KL7QiU?t=12733,https://youtu.be/R-3Z0KL7QiU?t=12743,一般的なゲームは、ジャンプ連打で上昇し続けることはないから
https://youtu.be/R-3Z0KL7QiU?t=12867,https://youtu.be/R-3Z0KL7QiU?t=12875,差し込む穴が四か所あり、まだ途中にもかかわらず進行しているから
https://youtu.be/R-3Z0KL7QiU?t=12989,https://youtu.be/R-3Z0KL7QiU?t=12996,一般的なゲームは、ジャンプ連打で上昇し続けることはないから
https://youtu.be/R-3Z0KL7QiU?t=13013,https://youtu.be/R-3Z0KL7QiU?t=13029,一般的なゲームは、ジャンプ連打で上昇し続けることはないから
https://youtu.be/R-3Z0KL7QiU?t=13392,https://youtu.be/R-3Z0KL7QiU?t=13395,明らかに正常でない視点になったあと、床をすり抜けている
https://youtu.be/R-3Z0KL7QiU?t=13423,https://youtu.be/R-3Z0KL7QiU?t=13427,想定されたワールドの外から、通常ワールドにすり抜けている
https://youtu.be/R-3Z0KL7QiU?t=13607,https://youtu.be/R-3Z0KL7QiU?t=13611,明らかに正常でない視点になったあと、床をすり抜けている
https://youtu.be/R-3Z0KL7QiU?t=13616,https://youtu.be/R-3Z0KL7QiU?t=13629,一般的なゲームは、ジャンプ連打で上昇し続けることはないから
https://youtu.be/R-3Z0KL7QiU?t=13633,https://youtu.be/R-3Z0KL7QiU?t=13646,明らかに正常でない視点になったあと、床をすり抜けている
https://youtu.be/R-3Z0KL7QiU?t=13821,https://youtu.be/R-3Z0KL7QiU?t=13867,一般的なゲームは、ジャンプ連打で上昇し続けることはないから
https://youtu.be/R-3Z0KL7QiU?t=13931,https://youtu.be/R-3Z0KL7QiU?t=13941,一般的なゲームは、ジャンプ連打で上昇し続けることはないから
https://youtu.be/R-3Z0KL7QiU?t=14172,https://youtu.be/R-3Z0KL7QiU?t=14185,一般的なゲームは、ジャンプ連打で上昇し続けることはないから
https://youtu.be/R-3Z0KL7QiU?t=14693,https://youtu.be/R-3Z0KL7QiU?t=14704,一般的なゲームは、ジャンプ連打で上昇し続けることはないから
https://youtu.be/R-3Z0KL7QiU?t=14724,https://youtu.be/R-3Z0KL7QiU?t=14728,明らかに正常でない視点になったあと、床をすり抜けている
