from https://youtu.be/7rMDI2mIALQ?t=33 to https://youtu.be/7rMDI2mIALQ?t=3633,,,,,,,,,,,
start_time,end_time,reason,start_time,end_time,reason,,,,,,
https://youtu.be/7rMDI2mIALQ?si=nNW1cgxF9ZeWQqTI&t=79,https://youtu.be/7rMDI2mIALQ?si=CX6xsEff0zI6Hx_-&t=81,本来入れないの壁をすり抜けてショートカットするバグ。,https://youtu.be/7rMDI2mIALQ?t=453,https://youtu.be/7rMDI2mIALQ?t=460,アイテム(翼×3)が増殖していたため,,,,,,
https://youtu.be/7rMDI2mIALQ?t=89,https://youtu.be/7rMDI2mIALQ?t=93,落下攻撃をキャンセルして無限に浮遊して進めるバグ。,https://youtu.be/7rMDI2mIALQ?t=679,https://youtu.be/7rMDI2mIALQ?t=714,装備品画面の操作後、エラーメッセージつきの武器を入手していたため,,,,,,
https://youtu.be/7rMDI2mIALQ?t=110,https://youtu.be/7rMDI2mIALQ?t=118,落下攻撃をキャンセルして無限に浮遊して進めるバグ。,https://youtu.be/7rMDI2mIALQ?t=907,https://youtu.be/7rMDI2mIALQ?t=927,弓に乗って空中を移動していたため,,,,,,
https://youtu.be/7rMDI2mIALQ?t=410,https://youtu.be/7rMDI2mIALQ?t=428,剣を抜いたり引っ込めたりを繰り返し、スタミナ消費せず走れるバグ。,https://youtu.be/7rMDI2mIALQ?t=1173,https://youtu.be/7rMDI2mIALQ?t=1178,3つ持っていた実が6つに増殖していたため,,,,,,
https://youtu.be/7rMDI2mIALQ?t=437,https://youtu.be/7rMDI2mIALQ?t=446,剣を抜いたり引っ込めたりを繰り返し、スタミナ消費せず走れるバグ。,https://youtu.be/7rMDI2mIALQ?t=1857,https://youtu.be/7rMDI2mIALQ?t=1863,アイテム(ロケット×3)が増殖していたため,,,,,,
https://youtu.be/7rMDI2mIALQ?t=453,https://youtu.be/7rMDI2mIALQ?t=460,所有のゾナウ道具をコピーするバグ。,https://youtu.be/7rMDI2mIALQ?t=2124,https://youtu.be/7rMDI2mIALQ?t=2137,装備品を捨てて拾った後、持っていなかった装備を入手していたため,,,,,,
https://youtu.be/7rMDI2mIALQ?t=463,https://youtu.be/7rMDI2mIALQ?t=466,剣を抜いたり引っ込めたりを繰り返し、スタミナ消費せず走れるバグ。,https://youtu.be/7rMDI2mIALQ?t=2673,https://youtu.be/7rMDI2mIALQ?t=2691,アイテムが増殖していたため,,,,,,
https://youtu.be/7rMDI2mIALQ?t=678,https://youtu.be/7rMDI2mIALQ?t=715,アイテムを落としたり拾ったりを繰り返し、セーブデータを巻き戻して以前に入手したアイテムを手に入れるバグ。武器の名もバグのため、表示出来ない。,https://youtu.be/7rMDI2mIALQ?t=2808,https://youtu.be/7rMDI2mIALQ?t=2833,アイテムが増殖していたため,,,,,,
https://youtu.be/7rMDI2mIALQ?t=714,https://youtu.be/7rMDI2mIALQ?t=740,アイテムを落としたり拾ったりを繰り返し、セーブデータを前のセーブデータに戻って、本来チュートリアルのシナリオに失うマスターソードと他入手したことあるの装備が現れる。（だがアイテムボックスに表示しない、そして壊れているマスターソードと壊れる前のマスターソード同時に装備している）,https://youtu.be/7rMDI2mIALQ?t=3493,https://youtu.be/7rMDI2mIALQ?t=3501,足元に剣が表示されたままになっていたため,,,,,,
https://youtu.be/7rMDI2mIALQ?t=863,https://youtu.be/7rMDI2mIALQ?t=866,同時に装備している壊れているマスターソードと壊れる前のマスターソードを同時に投げられて、別々に拾った（マスタソードはmsgnotfoundとして認識外の装備）,,,,,,,,,
