from https://youtu.be/oWZuaFW2Io0?t=12849 to https://youtu.be/oWZuaFW2Io0?t=16449,,
start_time,end_time,reason
https://youtu.be/oWZuaFW2Io0?t=13059,https://youtu.be/oWZuaFW2Io0?t=13061,リンクが少し硬直していたから
https://youtu.be/oWZuaFW2Io0?t=13285,https://youtu.be/oWZuaFW2Io0?t=13289,床をすり抜けたように見えた
https://youtu.be/oWZuaFW2Io0?t=13290,https://youtu.be/oWZuaFW2Io0?t=13298,天井下の何もないところを歩いているように見える。
https://youtu.be/oWZuaFW2Io0?t=13305,https://youtu.be/oWZuaFW2Io0?t=13317,リンクが壁をすり抜けた
https://youtu.be/oWZuaFW2Io0?t=13457,https://youtu.be/oWZuaFW2Io0?t=13511,床をすり抜け、壁の中を移動している。
https://youtu.be/oWZuaFW2Io0?t=13596,https://youtu.be/oWZuaFW2Io0?t=13606,リンクが硬直している
https://youtu.be/oWZuaFW2Io0?t=13795,https://youtu.be/oWZuaFW2Io0?t=13838,コログが、ブループリントで出した祠の石に引き寄せられ、リンクに追従している
https://youtu.be/oWZuaFW2Io0?t=14026,https://youtu.be/oWZuaFW2Io0?t=14068,床をすり抜けた
https://youtu.be/oWZuaFW2Io0?t=14414,https://youtu.be/oWZuaFW2Io0?t=14415,床をすり抜けた
https://youtu.be/oWZuaFW2Io0?t=14470,https://youtu.be/oWZuaFW2Io0?t=14471,床をすり抜けた
https://youtu.be/oWZuaFW2Io0?t=14654,https://youtu.be/oWZuaFW2Io0?t=14672,床をすり抜け、壁の中や天井の上を移動していた。
https://youtu.be/oWZuaFW2Io0?t=14911,https://youtu.be/oWZuaFW2Io0?t=14920,かなりの高さから落ちたように思えるが、落下ダメージがない。
https://youtu.be/oWZuaFW2Io0?t=14961,https://youtu.be/oWZuaFW2Io0?t=14976,床をすり抜け、壁の中や天井の上を移動していた。
https://youtu.be/oWZuaFW2Io0?t=15010,https://youtu.be/oWZuaFW2Io0?t=15047,床をすり抜け地底に潜った
https://youtu.be/oWZuaFW2Io0?t=15226,https://youtu.be/oWZuaFW2Io0?t=15228,壁をすり抜けた
https://youtu.be/oWZuaFW2Io0?t=15874,https://youtu.be/oWZuaFW2Io0?t=15883,祠の石がブループリントで作ったものに引き寄せられ、リンクを追従している。
