frame,bug_label,OoB_label,SG_label,FG_label,IG_label,DB_label,TG_label,WD_label
263070.jpg,0,0,0,0,0,0,0,0
263071.jpg,0,0,0,0,0,0,0,0
263072.jpg,0,0,0,0,0,0,0,0
263073.jpg,0,0,0,0,0,0,0,0
263074.jpg,0,0,0,0,0,0,0,0
263075.jpg,0,0,0,0,0,0,0,0
263076.jpg,0,0,0,0,0,0,0,0
263077.jpg,0,0,0,0,0,0,0,0
263078.jpg,0,0,0,0,0,0,0,0
263079.jpg,0,0,0,0,0,0,0,0
263080.jpg,0,0,0,0,0,0,0,0
263081.jpg,0,0,0,0,0,0,0,0
263082.jpg,0,0,0,0,0,0,0,0
263083.jpg,0,0,0,0,0,0,0,0
263084.jpg,0,0,0,0,0,0,0,0
263085.jpg,0,0,0,0,0,0,0,0
263086.jpg,0,0,0,0,0,0,0,0
263087.jpg,0,0,0,0,0,0,0,0
263088.jpg,0,0,0,0,0,0,0,0
263089.jpg,0,0,0,0,0,0,0,0
263090.jpg,0,0,0,0,0,0,0,0
263091.jpg,0,0,0,0,0,0,0,0
263092.jpg,0,0,0,0,0,0,0,0
263093.jpg,0,0,0,0,0,0,0,0
263094.jpg,0,0,0,0,0,0,0,0
263095.jpg,0,0,0,0,0,0,0,0
263096.jpg,0,0,0,0,0,0,0,0
263097.jpg,0,0,0,0,0,0,0,0
263098.jpg,0,0,0,0,0,0,0,0
263099.jpg,0,0,0,0,0,0,0,0
263100.jpg,0,0,0,0,0,0,0,0
263101.jpg,0,0,0,0,0,0,0,0
263102.jpg,0,0,0,0,0,0,0,0
263103.jpg,0,0,0,0,0,0,0,0
263104.jpg,0,0,0,0,0,0,0,0
263105.jpg,0,0,0,0,0,0,0,0
263106.jpg,0,0,0,0,0,0,0,0
263107.jpg,0,0,0,0,0,0,0,0
263108.jpg,0,0,0,0,0,0,0,0
263109.jpg,0,0,0,0,0,0,0,0
263110.jpg,0,0,0,0,0,0,0,0
263111.jpg,0,0,0,0,0,0,0,0
263112.jpg,0,0,0,0,0,0,0,0
263113.jpg,0,0,0,0,0,0,0,0
263114.jpg,0,0,0,0,0,0,0,0
263115.jpg,0,0,0,0,0,0,0,0
263116.jpg,0,0,0,0,0,0,0,0
263117.jpg,0,0,0,0,0,0,0,0
263118.jpg,0,0,0,0,0,0,0,0
263119.jpg,0,0,0,0,0,0,0,0
263120.jpg,0,0,0,0,0,0,0,0
263121.jpg,0,0,0,0,0,0,0,0
263122.jpg,0,0,0,0,0,0,0,0
263123.jpg,0,0,0,0,0,0,0,0
263124.jpg,0,0,0,0,0,0,0,0
263125.jpg,0,0,0,0,0,0,0,0
263126.jpg,0,0,0,0,0,0,0,0
263127.jpg,0,0,0,0,0,0,0,0
263128.jpg,0,0,0,0,0,0,0,0
263129.jpg,0,0,0,0,0,0,0,0
263130.jpg,0,0,0,0,0,0,0,0
263131.jpg,0,0,0,0,0,0,0,0
263132.jpg,0,0,0,0,0,0,0,0
263133.jpg,0,0,0,0,0,0,0,0
263134.jpg,0,0,0,0,0,0,0,0
263135.jpg,0,0,0,0,0,0,0,0
263136.jpg,0,0,0,0,0,0,0,0
263137.jpg,0,0,0,0,0,0,0,0
263138.jpg,0,0,0,0,0,0,0,0
263139.jpg,0,0,0,0,0,0,0,0
263140.jpg,0,0,0,0,0,0,0,0
263141.jpg,0,0,0,0,0,0,0,0
263142.jpg,0,0,0,0,0,0,0,0
263143.jpg,0,0,0,0,0,0,0,0
263144.jpg,0,0,0,0,0,0,0,0
263145.jpg,0,0,0,0,0,0,0,0
263146.jpg,0,0,0,0,0,0,0,0
263147.jpg,0,0,0,0,0,0,0,0
263148.jpg,0,0,0,0,0,0,0,0
263149.jpg,0,0,0,0,0,0,0,0
263150.jpg,0,0,0,0,0,0,0,0
263151.jpg,0,0,0,0,0,0,0,0
263152.jpg,0,0,0,0,0,0,0,0
263153.jpg,0,0,0,0,0,0,0,0
263154.jpg,0,0,0,0,0,0,0,0
263155.jpg,0,0,0,0,0,0,0,0
263156.jpg,0,0,0,0,0,0,0,0
263157.jpg,0,0,0,0,0,0,0,0
263158.jpg,0,0,0,0,0,0,0,0
263159.jpg,0,0,0,0,0,0,0,0
263160.jpg,0,0,0,0,0,0,0,0
263161.jpg,0,0,0,0,0,0,0,0
263162.jpg,0,0,0,0,0,0,0,0
263163.jpg,0,0,0,0,0,0,0,0
263164.jpg,0,0,0,0,0,0,0,0
263165.jpg,0,0,0,0,0,0,0,0
