from https://youtu.be/SRtJ_FzlzVs?t=9614 to https://youtu.be/SRtJ_FzlzVs?t=13214,,,,,,,
start_time,end_time,reason,,,,,
https://youtu.be/SRtJ_FzlzVs?t=9659,https://youtu.be/SRtJ_FzlzVs?t=9661,キャラクターが地面を通り抜けているから,,,,,
https://youtu.be/SRtJ_FzlzVs?t=9757,https://youtu.be/SRtJ_FzlzVs?t=9774,キャラクターがありえない挙動をしているから,,,,,
https://youtu.be/SRtJ_FzlzVs?t=9774,https://youtu.be/SRtJ_FzlzVs?t=9780,キャラクターが壁や地面を通り抜けているから,,,,,
https://youtu.be/SRtJ_FzlzVs?t=9837,https://youtu.be/SRtJ_FzlzVs?t=9841,キャラクターが壁を通り抜けているから,,,,,
https://youtu.be/SRtJ_FzlzVs?t=9924,https://youtu.be/SRtJ_FzlzVs?t=9934,キャラクターがありえない挙動をしているから,,,,,
https://youtu.be/SRtJ_FzlzVs?t=10068,https://youtu.be/SRtJ_FzlzVs?t=10079,キャラクターがありえない挙動をしているから,,,,,
https://youtu.be/SRtJ_FzlzVs?t=10202,https://youtu.be/SRtJ_FzlzVs?t=10225,キャラクターがありえない挙動をしているから,,,,,
https://youtu.be/SRtJ_FzlzVs?t=10232,https://youtu.be/SRtJ_FzlzVs?t=10238,キャラクターが思った以上に吹っ飛んでいるから,,,,,
https://youtu.be/SRtJ_FzlzVs?t=10295,https://youtu.be/SRtJ_FzlzVs?t=10301,キャラクターが思った以上に吹っ飛んでいるから,,,,,
https://youtu.be/SRtJ_FzlzVs?t=10355,https://youtu.be/SRtJ_FzlzVs?t=10373,キャラクターがありえない挙動をしているから,,,,,
https://youtu.be/SRtJ_FzlzVs?t=10433,https://youtu.be/SRtJ_FzlzVs?t=10438,キャラクターが思った以上に吹っ飛んでいるから,,,,,
https://youtu.be/SRtJ_FzlzVs?t=10504,https://youtu.be/SRtJ_FzlzVs?t=10522,キャラクターがありえない挙動をしているから,,,,,
https://youtu.be/SRtJ_FzlzVs?t=10562,https://youtu.be/SRtJ_FzlzVs?t=10628,キャラクターがありえない挙動をしているから,,,,,
https://youtu.be/SRtJ_FzlzVs?t=10747,https://youtu.be/SRtJ_FzlzVs?t=10753,キャラクターが思った以上に吹っ飛んでいるから,,,,,
https://youtu.be/SRtJ_FzlzVs?t=10761,https://youtu.be/SRtJ_FzlzVs?t=10764,キャラクターが思った以上に吹っ飛んでいるから,,,,,
https://youtu.be/SRtJ_FzlzVs?t=10777,https://youtu.be/SRtJ_FzlzVs?t=10819,キャラクターがありえない挙動をしているから,,,,,
https://youtu.be/SRtJ_FzlzVs?t=10829,https://youtu.be/SRtJ_FzlzVs?t=10832,キャラクターが思った以上に吹っ飛んでいるから,,,,,
https://youtu.be/SRtJ_FzlzVs?t=10839,https://youtu.be/SRtJ_FzlzVs?t=10842,キャラクターが思った以上に吹っ飛んでいるから,,,,,
https://youtu.be/SRtJ_FzlzVs?t=11041,https://youtu.be/SRtJ_FzlzVs?t=11045,キャラクターが思った以上に吹っ飛んでいるから,,,,,
https://youtu.be/SRtJ_FzlzVs?t=11124,https://youtu.be/SRtJ_FzlzVs?t=11128,キャラクターが思った以上に吹っ飛んでいるから,,,,,
https://youtu.be/SRtJ_FzlzVs?t=11143,https://youtu.be/SRtJ_FzlzVs?t=11167,キャラクターがありえない挙動をしているから,,,,,
https://youtu.be/SRtJ_FzlzVs?t=11251,https://youtu.be/SRtJ_FzlzVs?t=11272,キャラクターがありえない挙動をしているから,,,,,
https://youtu.be/SRtJ_FzlzVs?t=11320,https://youtu.be/SRtJ_FzlzVs?t=11359,キャラクターがありえない挙動をしているから,,,,,
https://youtu.be/SRtJ_FzlzVs?t=11409,https://youtu.be/SRtJ_FzlzVs?t=11413,キャラクターが思った以上に吹っ飛んでいるから,,,,,
https://youtu.be/SRtJ_FzlzVs?t=11422,https://youtu.be/SRtJ_FzlzVs?t=11443,キャラクターがありえない挙動をしているから,,,,,
https://youtu.be/SRtJ_FzlzVs?t=11490,https://youtu.be/SRtJ_FzlzVs?t=11495,キャラクターが思った以上に吹っ飛んでいるから,,,,,
