from https://youtu.be/JoX7RDKRG7Q?t=3 to https://youtu.be/JoX7RDKRG7Q?t=3603,,,,,
start_time,end_time,reason,start_time,end_time,reason
https://youtu.be/JoX7RDKRG7Q?t=208 ,https://youtu.be/JoX7RDKRG7Q?t=209,なぜかスターがとれている,https://youtu.be/JoX7RDKRG7Q?t=77,https://youtu.be/JoX7RDKRG7Q?t=84,壁すり抜け
https://youtu.be/JoX7RDKRG7Q?t=74　,https://youtu.be/JoX7RDKRG7Q?t=83　,壁すり抜け、マリオの挙動が変、グリッチに近い,https://youtu.be/JoX7RDKRG7Q?t=363,https://youtu.be/JoX7RDKRG7Q?t=373,バッタンの当たり判定すり抜け
https://youtu.be/JoX7RDKRG7Q?t=727　,https://youtu.be/JoX7RDKRG7Q?t=730　,壁すり抜け,https://youtu.be/JoX7RDKRG7Q?t=512,https://youtu.be/JoX7RDKRG7Q?t=516,かべのすりぬけ
https://youtu.be/JoX7RDKRG7Q?t=1819　,https://youtu.be/JoX7RDKRG7Q?t=1824　,柵すり抜け,https://youtu.be/JoX7RDKRG7Q?t=563,https://youtu.be/JoX7RDKRG7Q?t=567,登れない木におけるジャンプ連打でのよじのぼり
https://youtu.be/JoX7RDKRG7Q?t=1837　,https://youtu.be/JoX7RDKRG7Q?t=1841　,ステージ移動,https://youtu.be/JoX7RDKRG7Q?t=652,https://youtu.be/JoX7RDKRG7Q?t=656,壁を伝って早く浮上
https://youtu.be/JoX7RDKRG7Q?t=1899　,https://youtu.be/JoX7RDKRG7Q?t=1903　,ステージ移動,https://youtu.be/JoX7RDKRG7Q?t=727,https://youtu.be/JoX7RDKRG7Q?t=729,壁すり抜け
https://youtu.be/JoX7RDKRG7Q?t=1909　,https://youtu.be/JoX7RDKRG7Q?t=1914　,柵すりぬけ,https://youtu.be/JoX7RDKRG7Q?t=872,https://youtu.be/JoX7RDKRG7Q?t=875,壁すりぬけ
https://youtu.be/JoX7RDKRG7Q?t=2630　,https://youtu.be/JoX7RDKRG7Q?t=2637　,ゴール演出省略,https://youtu.be/JoX7RDKRG7Q?t=946,https://youtu.be/JoX7RDKRG7Q?t=949,壁すりぬけ
,,,https://youtu.be/JoX7RDKRG7Q?t=993,https://youtu.be/JoX7RDKRG7Q?t=995,壁すりぬけ
,,,https://youtu.be/JoX7RDKRG7Q?t=1101,https://youtu.be/JoX7RDKRG7Q?t=1106,坂を利用した高速移動
,,,https://youtu.be/JoX7RDKRG7Q?t=1282,https://youtu.be/JoX7RDKRG7Q?t=1285,登れない壁におけるジャンプ連打でのよじのぼり
,,,https://youtu.be/JoX7RDKRG7Q?t=1416,https://youtu.be/JoX7RDKRG7Q?t=1418,坂を利用した高速移動
,,,https://youtu.be/JoX7RDKRG7Q?t=1452,https://youtu.be/JoX7RDKRG7Q?t=1453,壁すりぬけ
,,,https://youtu.be/JoX7RDKRG7Q?t=1474,https://youtu.be/JoX7RDKRG7Q?t=1479,坂を利用した高速移動
,,,https://youtu.be/JoX7RDKRG7Q?t=1814,https://youtu.be/JoX7RDKRG7Q?t=1824,壁すりぬけ
,,,https://youtu.be/JoX7RDKRG7Q?t=1837,https://youtu.be/JoX7RDKRG7Q?t=1840,壁すりぬけ
,,,https://youtu.be/JoX7RDKRG7Q?t=1901,https://youtu.be/JoX7RDKRG7Q?t=1903,壁すりぬけ
,,,https://youtu.be/JoX7RDKRG7Q?t=1905,https://youtu.be/JoX7RDKRG7Q?t=1915,壁すりぬけ
,,,https://youtu.be/JoX7RDKRG7Q?t=1949,https://youtu.be/JoX7RDKRG7Q?t=1954,壁すりぬけ
,,,https://youtu.be/JoX7RDKRG7Q?t=2589,https://youtu.be/JoX7RDKRG7Q?t=2594,坂を利用した高速移動
,,,https://youtu.be/JoX7RDKRG7Q?t=2634,https://youtu.be/JoX7RDKRG7Q?t=2635,滑ったまま
,,,https://youtu.be/JoX7RDKRG7Q?t=3157,https://youtu.be/JoX7RDKRG7Q?t=3158,床すりぬけ
